model,horizon,feature_set,mode,feature,members,baseline_f1,knockout_f1,importance,is_thyroid,cache_key
ENSEMBLE,7,CV17_THY_STATES,multi,cluster_1,"Gender, Age, Angina, Previous_CABG, Previous_PCI, Previous_MI, Angiography, Vessels, Ischemia, PostIsch_DCM, Smoke, Hypertension, Dyslipidemia, AFib, fe",0.7476253807542151,0.44710327455919396,1.6721536685037939,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,multi,cluster_2,Diabetes,0.7476253807542151,0.7284304453765618,1.0263510888369451,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,multi,cluster_4,Acute_MI,0.7476253807542151,0.7414283937932343,1.008358173240812,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,multi,cluster_7,Hyperthyroid,0.7476253807542151,0.7452030111662639,1.003250617015302,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,multi,cluster_5,SCT,0.7476253807542151,0.7476253807542151,1.0,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,multi,cluster_6,Hypothyroid,0.7476253807542151,0.7476253807542151,1.0,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,multi,cluster_3,"SCH, Low_T3",0.7476253807542151,0.7479173476328878,0.9996096268129137,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Age,Age,0.7476253807542151,0.665852311092014,1.1228096205419655,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,fe,fe,0.7476253807542151,0.6855448440074199,1.0905564928238645,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Diabetes,Diabetes,0.7476253807542151,0.7284304453765618,1.0263510888369451,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Dyslipidemia,Dyslipidemia,0.7476253807542151,0.7321688829636994,1.0211105636283673,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,PostIsch_DCM,PostIsch_DCM,0.7476253807542151,0.736324860724234,1.0153471933826412,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Vessels,Vessels,0.7476253807542151,0.7375971309025702,1.0135958363061606,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Acute_MI,Acute_MI,0.7476253807542151,0.7414283937932343,1.008358173240812,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Previous_PCI,Previous_PCI,0.7476253807542151,0.7426374232705704,1.006716544746261,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Hypertension,Hypertension,0.7476253807542151,0.7426374232705704,1.006716544746261,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Angina,Angina,0.7476253807542151,0.7440391529810861,1.0048199449703155,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Previous_MI,Previous_MI,0.7476253807542151,0.7451378809869376,1.0033383080242584,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Hyperthyroid,Hyperthyroid,0.7476253807542151,0.7452030111662639,1.003250617015302,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Ischemia,Ischemia,0.7476253807542151,0.7462535594372901,1.0018382777536894,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATES,single,Angiography,Angiography,0.7476253807542151,0.7464221670460032,1.0016119747795993,False,1d225cfbcbdb0d4d706d
