horizon,feature_set,model,scheme,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier,threshold,f1_macro_std,roc_auc_std,precision_1_std,recall_1_std,precision_0_std,recall_0_std,brier_std,threshold_std,cache_key
7,CV17_THY_ABNORMAL_BIN,XGBoost,A_5fold_cv,0.7210685882063722,0.8195092049082762,0.5453326986928689,0.5599323753169906,0.8951193142325874,0.8889211148413754,0.1399277869391121,0.5920000000000001,0.0317440193533785,0.0283205508358973,0.0431730785943723,0.087858854073705,0.0181293297386332,0.0183664269797265,0.0101309262158408,0.0363318042491698,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,XGBoost,B_60_20_20,0.7040292574336142,0.8165409121395036,0.5276073619631901,0.5119047619047619,0.8853146853146853,0.8915492957746479,0.1352221851096024,0.58,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,ENSEMBLE,A_5fold_cv,0.7216235686627016,0.8420452212276338,0.5169184346761215,0.6262679628064244,0.9069785177113732,0.8581819265380719,0.1419778178763083,0.508,0.0198760223395865,0.016286907492536,0.040436253439301,0.0918191404706144,0.0174388618358286,0.0380946167565406,0.0033408851582633,0.0414728827066554,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,ENSEMBLE,B_60_20_20,0.7179349889506528,0.8439553990610329,0.6636363636363637,0.4345238095238095,0.8763020833333334,0.947887323943662,0.1402998136050845,0.62,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,LogisticRegression,A_5fold_cv,0.7309825314398557,0.8399097377878857,0.5421256957339431,0.6097140039447732,0.904177945246012,0.8753793281551083,0.1617833267557012,0.648,0.0235020834039972,0.016191551583179,0.0557052804552889,0.0237140109822302,0.0052821915987776,0.0277300497724727,0.0046996698105139,0.0303315017762062,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,LogisticRegression,B_60_20_20,0.7440715361986081,0.8356723675385648,0.6357142857142857,0.5297619047619048,0.8929539295392954,0.928169014084507,0.1613382147732383,0.72,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,RandomForest,A_5fold_cv,0.709654903397819,0.8213212953509664,0.5324894218687517,0.5385108481262326,0.8905706377876499,0.886662428733189,0.1200152164009111,0.44,0.0190485410176865,0.0204799033479288,0.0136748555350048,0.0938075611331136,0.0168292282037171,0.0254844396669218,0.0070181285493912,0.0489897948556635,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,RandomForest,B_60_20_20,0.7417168371253335,0.8320674044265592,0.5591397849462365,0.6190476190476191,0.907514450867052,0.8845070422535212,0.1153774487471526,0.42,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,AdaBoost,A_5fold_cv,0.720413053347427,0.8332931165623532,0.5326919093387958,0.5776627218934911,0.8977708055673279,0.8790432865174118,0.1961034888401844,0.544,0.0182825205898847,0.0148461146450691,0.0256361340666473,0.0622558603208677,0.0120593203620204,0.0180549272555452,0.0029195935747492,0.0089442719099991,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,AdaBoost,B_60_20_20,0.7252454048356282,0.8244676391683434,0.5454545454545454,0.5714285714285714,0.8974358974358975,0.8873239436619719,0.1953558418467795,0.54,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,SVC,A_5fold_cv,0.7071073881842127,0.8170020990216622,0.4994589055030938,0.5931389123696816,0.8993372508747459,0.8564993345120087,0.1499108065062392,0.592,0.0164316387181554,0.011938658780387,0.0308334056265544,0.0957943586100313,0.0175309299809572,0.0346357045733248,0.0055004718334268,0.0855569985448297,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,SVC,B_60_20_20,0.7204711875198981,0.8245305164319249,0.5208333333333334,0.5952380952380952,0.9008746355685132,0.8704225352112676,0.1455863118993165,0.64,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,KNeighbors,A_5fold_cv,0.6497562970224224,0.7159472710287705,0.4173267725313739,0.4721470836855452,0.8706234843902798,0.8435320526828105,0.2090205011389521,0.62,0.0097571829860031,0.0242210059059148,0.0080615536879186,0.0371543096515353,0.0070765800841726,0.0080970741873066,0.0049068618364193,0.0,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,KNeighbors,B_60_20_20,0.6712764712764713,0.7531983568075118,0.4405940594059406,0.5297619047619048,0.8831360946745562,0.8408450704225352,0.1982232346241458,0.62,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,MLP,A_5fold_cv,0.6855140334129389,0.7828159549933613,0.5081695697948037,0.4791208791208791,0.8779092164638786,0.8869286239297562,0.1627317168051439,0.672,0.0140867863147206,0.0189411587029905,0.0465106323416213,0.0696340963608621,0.0115099079322715,0.0322721225428572,0.0107563465815105,0.136088206689632,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,MLP,B_60_20_20,0.7098737074558541,0.7961519114688128,0.510752688172043,0.5654761904761905,0.8945086705202312,0.8718309859154929,0.1471718079757497,0.56,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,GradientBoosting,A_5fold_cv,0.7198092973318286,0.8349167220491335,0.5266057238027102,0.5930543815159199,0.9007049649168272,0.8714289119767973,0.1526958227802864,0.6279999999999999,0.0312844094821927,0.0226707846964224,0.0501021781167654,0.0933700635372409,0.0183349332872883,0.0346859807952466,0.0059355086353564,0.0657267069006199,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,GradientBoosting,B_60_20_20,0.7256515219976486,0.8387365861837692,0.60431654676259,0.5,0.8863328822733424,0.9225352112676056,0.1483287626275765,0.7,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,XGBoost,A_5fold_cv,0.708622718773021,0.8169113838997184,0.5504135833559544,0.5088757396449705,0.8862909908345676,0.9018927670394724,0.1410889073876273,0.624,0.0401778321918548,0.022200102811283,0.0359721827107775,0.1226146089242785,0.0230742532544675,0.02237906417854,0.0070969040680517,0.0726636084983397,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,XGBoost,B_60_20_20,0.7309535179879019,0.8191901408450704,0.5364583333333334,0.6130952380952381,0.9052478134110788,0.8746478873239436,0.1355601672721256,0.54,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,ENSEMBLE,A_5fold_cv,0.7254190836197468,0.8434364310622053,0.5415446015528986,0.5848055790363482,0.8993072661365034,0.8807417707940166,0.1412987692184807,0.532,0.0195389281513106,0.0164402857734866,0.0464278933145548,0.0344435353512729,0.0069413677195614,0.0238709942581118,0.0035307266398721,0.033466401061363,85033eaf7973736b5b9a
7,CV17_THY_STATE_ORD,ENSEMBLE,B_60_20_20,0.7626925222017247,0.8423625083836351,0.6329113924050633,0.5952380952380952,0.9055555555555556,0.9183098591549296,0.1403542751090871,0.56,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT,LogisticRegression,A_5fold_cv,0.7272705767163679,0.8395481289016008,0.5301682424834554,0.6179416737109046,0.905780381648609,0.8686080375057113,0.1618359693532588,0.644,0.0232696875354272,0.0147531746226422,0.0350895454975953,0.0777240975183382,0.0149548544658137,0.0262309409249573,0.0048540173794023,0.0456070170039655,85033eaf7973736b5b9a
7,CV17_THY_CONT,LogisticRegression,B_60_20_20,0.7448899669016398,0.838128772635815,0.5903614457831325,0.5833333333333334,0.901685393258427,0.904225352112676,0.1600980234852592,0.6799999999999999,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT,RandomForest,A_5fold_cv,0.7237717265238949,0.8312862584086206,0.5541100361668898,0.5622569737954353,0.8962909408800549,0.8920212956157254,0.1162883371298405,0.424,0.0265986299349992,0.0182316496471717,0.0194260608973775,0.1044733632861169,0.0198903564232845,0.0232924121807652,0.0053815176413738,0.0456070170039655,85033eaf7973736b5b9a
7,CV17_THY_CONT,RandomForest,B_60_20_20,0.7360314523589269,0.8359657947686117,0.5288461538461539,0.6547619047619048,0.9134328358208956,0.8619718309859155,0.1135509111617312,0.38,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT,AdaBoost,A_5fold_cv,0.7179930903419052,0.8345389588121979,0.559085971335729,0.5278176951253875,0.889139872359421,0.8996241482746976,0.1948594827534046,0.552,0.0289409467388308,0.0186198688469941,0.0654931487824698,0.0468347290454576,0.0099969752336287,0.0216393747480112,0.0031783534107599,0.0109544511501033,85033eaf7973736b5b9a
7,CV17_THY_CONT,AdaBoost,B_60_20_20,0.7288728769943387,0.828931924882629,0.562874251497006,0.5595238095238095,0.8959212376933896,0.8971830985915493,0.1939460463788677,0.54,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT,SVC,A_5fold_cv,0.7119216377789362,0.8195738252145521,0.5035649491433355,0.5990208509439279,0.9003080045217983,0.8581803373130178,0.1499646016529852,0.596,0.0178678204588444,0.0109942953316255,0.0365857986544429,0.0563562446681496,0.0108260457500492,0.0265618597197629,0.0065012865063201,0.0684105255059482,85033eaf7973736b5b9a
7,CV17_THY_CONT,SVC,B_60_20_20,0.7299912506388766,0.82719651240778,0.5844155844155844,0.5357142857142857,0.8922651933701657,0.9098591549295776,0.145559963038491,0.72,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT,KNeighbors,A_5fold_cv,0.6435452069558565,0.7189615638361316,0.4027846527965011,0.4876232741617355,0.8718373753554125,0.8263453783348895,0.2085375854214123,0.5800000000000001,0.0160804864403825,0.0155504001958818,0.0313897297394535,0.05886700786782,0.0097944599902991,0.0349375379441548,0.0069180520727961,0.0894427190999915,85033eaf7973736b5b9a
7,CV17_THY_CONT,KNeighbors,B_60_20_20,0.651426516097508,0.754518779342723,0.3838028169014084,0.6488095238095238,0.9006734006734006,0.7535211267605634,0.1923462414578587,0.42,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT,MLP,A_5fold_cv,0.693827954974284,0.8014588085734482,0.4777279316688124,0.5777120315581853,0.8959226152752724,0.8494554917658277,0.1568567106918733,0.556,0.0262226904682466,0.0469465470935192,0.0142630365734489,0.1386044448950199,0.0269042864493838,0.0387120013405675,0.0133224079996709,0.0654217089351845,85033eaf7973736b5b9a
7,CV17_THY_CONT,MLP,B_60_20_20,0.6978580529952845,0.807981220657277,0.4625550660792951,0.625,0.9032258064516128,0.828169014084507,0.1474838645579969,0.44,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT,GradientBoosting,A_5fold_cv,0.7236332318912833,0.8380944217086711,0.5515728284833759,0.5586925894618202,0.8949215419840197,0.891735632412245,0.1495376309152638,0.6599999999999999,0.0207942000213404,0.0173190721844499,0.0315204764522251,0.0549715242920219,0.0109326715079994,0.015104751479382,0.0055798074219528,0.0244948974278317,85033eaf7973736b5b9a
