horizon,feature_set,model,sampler,status,replication_only,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17_THY_CONT,RandomForest,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7051884468840164,0.8084142178749968,0.5732352967659099,0.13761515862587562,0.5053763440860215,0.5562130177514792,0.8916184971098265,0.8702397743300423
7,CV17_THY_CONT,RandomForest,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7121940559440559,0.8177030737516797,0.5979103884816934,0.13145906507123092,0.5191256830601093,0.5621301775147929,0.8935251798561151,0.8758815232722144
7,CV17_THY_CONT,RandomForest,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7121940559440559,0.8161257208669599,0.5717949953392419,0.13236233638613634,0.5191256830601093,0.5621301775147929,0.8935251798561151,0.8758815232722144
7,CV17_THY_CONT,RandomForest,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7362850277514552,0.8242127840695704,0.5985802071784422,0.1244824474981525,0.5828220858895705,0.5621301775147929,0.8965034965034965,0.9040902679830748
7,CV17_THY_CONT,SVC,none,ok,False,878,169,0.19248291571753987,0.5,0.609787013588107,0.8234533178658165,0.5407947372934755,0.12792624469944588,0.5,0.2485207100591716,0.8400503778337531,0.9407616361071932
7,CV17_THY_CONT,SVC,class_weight,ok,False,878,169,0.19248291571753987,0.5,0.6995799389928727,0.8248136804066065,0.5645520401344896,0.11729542855323098,0.6272727272727273,0.40828402366863903,0.8697916666666666,0.9421720733427362
7,CV17_THY_CONT,SVC,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.6798343336210415,0.8271504994950801,0.5765068703785976,0.16822104196260385,0.41638225255972694,0.7218934911242604,0.9196581196581196,0.7588152327221439
7,CV17_THY_CONT,SVC,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.6857089330041417,0.8234867009956518,0.5745634291459284,0.16555628936565417,0.4232081911262799,0.7337278106508875,0.9230769230769231,0.7616361071932299
7,CV17_THY_CONT,SVC,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6836500480409949,0.8289782258535648,0.5727851775781202,0.16838247250320026,0.42033898305084744,0.7337278106508875,0.9228130360205832,0.7588152327221439
7,CV17_THY_CONT,SVC,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6775156348234671,0.8289949174184825,0.5726547056201412,0.16886874338235397,0.4119601328903654,0.7337278106508875,0.9220103986135182,0.7503526093088858
7,CV17_THY_CONT,SVC,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6996613314277629,0.827058695888033,0.5801810684770277,0.15194691911589372,0.45564516129032256,0.6686390532544378,0.9111111111111111,0.8095909732016925
7,CV17_THY_CONT,XGBoost,none,ok,False,878,169,0.19248291571753987,0.5,0.675630480857104,0.838200315470577,0.6389886235318606,0.11075190167685071,0.7647058823529411,0.3076923076923077,0.8555555555555555,0.9774330042313117
7,CV17_THY_CONT,XGBoost,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7272556478389867,0.8299797197486249,0.6260868739656253,0.14434611179271906,0.504424778761062,0.6745562130177515,0.9156441717791411,0.842031029619182
7,CV17_THY_CONT,XGBoost,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7066975621530291,0.8149740028876407,0.6017096069884169,0.1423461796949926,0.49029126213592233,0.5976331360946746,0.8988095238095238,0.8519040902679831
7,CV17_THY_CONT,XGBoost,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7216688641700606,0.8231945986095925,0.613101986247149,0.1338833783719012,0.532608695652174,0.5798816568047337,0.8976945244956772,0.8787023977433004
7,CV17_THY_CONT,XGBoost,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7275164533290085,0.8273007235793391,0.6076373774225683,0.13394059944869782,0.5372340425531915,0.5976331360946746,0.9014492753623189,0.8772919605077574
7,CV17_THY_CONT,XGBoost,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7321478775649373,0.8330175845636407,0.6256246086044862,0.12956595034062143,0.5421052631578948,0.6094674556213018,0.9040697674418605,0.8772919605077574
7,CV17_THY_STATES,AdaBoost,none,ok,False,878,169,0.19248291571753987,0.5,0.7034785545423843,0.8496549018953272,0.6309174274312465,0.15711762905822851,0.7469879518072289,0.3668639053254438,0.8654088050314466,0.9703808180535967
7,CV17_THY_STATES,AdaBoost,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7232138749205494,0.8490247953196852,0.6360227582991052,0.19249516024412255,0.4714285714285714,0.7810650887573964,0.9381270903010034,0.7912552891396333
7,CV17_THY_STATES,AdaBoost,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7144805303793219,0.8376661853932115,0.587978625228147,0.1971195245616022,0.467680608365019,0.727810650887574,0.9252032520325203,0.8025387870239774
7,CV17_THY_STATES,AdaBoost,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7179008567931456,0.837641148045835,0.6042326567510127,0.19917112432015985,0.5023696682464455,0.6272189349112426,0.9055472263868066,0.8519040902679831
7,CV17_THY_STATES,AdaBoost,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7187933321275698,0.8376161106984585,0.5798052385559848,0.195904426323031,0.4977168949771689,0.6449704142011834,0.9089529590288316,0.844851904090268
7,CV17_THY_STATES,AdaBoost,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7154850183878941,0.8430492150791598,0.6137669525275696,0.18648003524844162,0.4931506849315068,0.6390532544378699,0.9074355083459787,0.843441466854725
