draw,horizon,n_oob,c_base,c_thy,delta
245,,2987,0.7752105674966632,0.7787455955978991,0.0035350281012359597
246,,2927,0.7807336891026814,0.785296689679366,0.004563000576684573
247,,2978,0.7973829553903808,0.7982334202863232,0.0008504648959423156
248,,2952,0.7709136018483032,0.774771907633595,0.0038583057852918934
249,,2948,0.776057022151434,0.780077139052367,0.004020116900932957
250,,2953,0.8078885749097775,0.8125394441625216,0.00465086925274405
251,,2971,0.7979523866686759,0.8024731245961346,0.004520737927458773
252,,2979,0.7742039828121305,0.7752858824956473,0.001081899683516796
253,,2949,0.8035047536440086,0.8056325429793116,0.0021277893353029986
254,,2980,0.7819076792322538,0.7805608182682036,-0.0013468609640502338
255,,2941,0.7738575014300005,0.7735845606960119,-0.00027294073398864693
256,,2961,0.7949935865338652,0.7971995161837543,0.0022059296498890824
257,,2978,0.8045924891862012,0.8057146277964305,0.0011221386102293618
258,,2948,0.7860999794827519,0.7873298284022756,0.0012298489195237128
259,,2992,0.7672367264302364,0.7683468345420391,0.0011101081118026768
260,,2956,0.7816902959091272,0.7838275244205537,0.0021372285114265033
261,,2979,0.796679232830328,0.8002398451408642,0.003560612310536171
262,,2953,0.7858466138260009,0.7900206424199722,0.004174028593971313
263,,2963,0.7979381794345742,0.7977034670545299,-0.00023471238004435513
264,,2924,0.7788632373781171,0.7820530785338099,0.003189841155692763
265,,2963,0.7668441193249226,0.7694958123192027,0.0026516929942801415
266,,2952,0.7891643716623727,0.7928659914912098,0.0037016198288370994
267,,2959,0.7825652530017462,0.7835248029860139,0.0009595499842677269
268,,2991,0.7847255687990757,0.7895363102101234,0.004810741411047648
269,,2986,0.7916128935629538,0.7921221258952129,0.0005092323322590797
270,,2975,0.7741092572261308,0.7741584899343728,4.923270824197523e-05
271,,2980,0.7929433540866745,0.7942563726015104,0.0013130185148358953
272,,2933,0.8083115854833752,0.8083871169383194,7.553145494421099e-05
273,,2970,0.7787714704726859,0.7823768261645115,0.003605355691825629
274,,2962,0.7839326944071505,0.7842044625726458,0.0002717681654952342
275,,2953,0.788575715583496,0.7907433313511867,0.002167615767690645
276,,2966,0.7865567975554164,0.7889389117538959,0.002382114198479446
277,,2913,0.7841295488459049,0.7851327631178571,0.0010032142719521575
278,,2926,0.7781024565086504,0.780283921535928,0.0021814650272775626
279,,2992,0.7842922975130421,0.7865297439237404,0.0022374464106983405
