draw,horizon,n_oob,c_base,c_thy,delta
35,7.0,2971,0.8052197196666041,0.8091898849223519,0.003970165255747782
35,10.0,2971,0.8027391073567601,0.8058745585905005,0.0031354512337403717
36,7.0,2971,0.7760175230359532,0.7790080049854569,0.002990481949503687
36,10.0,2971,0.7710816059352489,0.7736650734868217,0.0025834675515727934
37,7.0,2990,0.8021033348487685,0.8042467841574626,0.0021434493086941453
37,10.0,2990,0.8005780092053318,0.8023699636697917,0.0017919544644598995
38,7.0,2939,0.7951199103153446,0.7955852299242079,0.0004653196088633127
38,10.0,2939,0.7880812154822742,0.786941764506675,-0.0011394509755991988
39,7.0,2980,0.7999192862521194,0.8048447208333559,0.00492543458123651
39,10.0,2980,0.7961441927469788,0.8001980347096661,0.004053841962687321
40,7.0,3008,0.7716954510067707,0.7717966171644801,0.00010116615770938697
40,10.0,3008,0.7689386735638305,0.7687541997895351,-0.0001844737742954239
41,7.0,2993,0.791974203704409,0.7923169694430692,0.0003427657386602112
41,10.0,2993,0.7886642771804062,0.7891565113500597,0.0004922341696534938
42,7.0,2933,0.7829297934000187,0.7856507488647341,0.002720955464715402
42,10.0,2933,0.780281693860278,0.7827085866848353,0.002426892824557325
43,7.0,3007,0.7752083025226959,0.7744783448141118,-0.0007299577085840836
43,10.0,3007,0.775879557328823,0.7743801202662668,-0.0014994370625561748
44,7.0,2948,0.7758842096419956,0.7788072387642735,0.0029230291222779314
44,10.0,2948,0.77313145453305,0.7755395465307556,0.0024080919977056414
45,7.0,2967,0.7965723700344551,0.7987334380220605,0.002161067987605403
45,10.0,2967,0.7920795350710979,0.7934469730185176,0.0013674379474197806
46,7.0,2940,0.7813238322828231,0.784039642438627,0.0027158101558039105
46,10.0,2940,0.780602399318799,0.782480488529926,0.0018780892111269765
47,7.0,2919,0.793727484397639,0.7964927809129707,0.00276529651533175
47,10.0,2919,0.792968847741774,0.7950180091790844,0.002049161437310376
48,7.0,2964,0.7747100388312432,0.7751607358838882,0.0004506970526449994
48,10.0,2964,0.7726748409111202,0.7726229575449274,-5.188336619277312e-05
49,7.0,2979,0.7783717661052688,0.7819760211943446,0.003604255089075803
49,10.0,2979,0.7732215914902322,0.7762586938733763,0.0030371023831441413
50,7.0,2981,0.7934117006406601,0.7941530494371815,0.0007413487965213239
50,10.0,2981,0.7868329060231639,0.7866966929502733,-0.0001362130728905786
51,7.0,2952,0.7794714703978463,0.78192263002657,0.002451159628723776
51,10.0,2952,0.778417532725411,0.7804260361936639,0.0020085034682528757
52,7.0,2969,0.7960743270434627,0.7964781568592381,0.00040382981577535837
